"filename", "language", "JavaScript", "JSON", "CSS", "HTML", "Markdown", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\auth\components\Signup.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\cart\cartListApi.js", "JavaScript", -91, 0, 0, 0, 0, 0, 0, -7, -98
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\cart\cartListSlice.js", "JavaScript", -75, 0, 0, 0, 0, 0, 0, -7, -82
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\cart\components\CartEmpty.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -12, 0, -3, -15
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\cart\components\CartItem1.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -82, 0, -6, -88
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\cart\components\CartList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -44, 0, -7, -51
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\order\components\OrderInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -45, 0, -5, -50
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\order\components\OrderItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -14, 0, -3, -17
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\order\components\OrderList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -23, 0, -3, -26
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\order\orderApi.js", "JavaScript", -42, 0, 0, 0, 0, 0, 0, -2, -44
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\order\orderSlice.js", "JavaScript", -86, 0, 0, 0, 0, 0, 0, -6, -92
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\user\components\AddressPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -103, 0, -3, -106
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\user\components\EditAddressForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -211, 0, -5, -216
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\user\components\NewAddressForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, -200, 0, -7, -207
