Date : 2024-04-08 18:18:53
Directory : c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src
Total : 64 files,  3445 codes, 40 comments, 312 blanks, all 3797 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\auth\components\Signup.js                | JavaScript     |          0 |          0 |          1 |          1 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\cart\cartListApi.js                      | JavaScript     |         91 |          0 |          7 |         98 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\cart\cartListSlice.js                    | JavaScript     |         75 |          0 |          7 |         82 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\cart\components\CartEmpty.jsx            | JavaScript JSX |         12 |          0 |          3 |         15 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\cart\components\CartItem1.jsx            | JavaScript JSX |         82 |          0 |          6 |         88 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\cart\components\CartList.jsx             | JavaScript JSX |         44 |          0 |          7 |         51 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\order\components\OrderInfo.jsx           | JavaScript JSX |         45 |          0 |          5 |         50 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\order\components\OrderItem.jsx           | JavaScript JSX |         14 |          0 |          3 |         17 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\order\components\OrderList.jsx           | JavaScript JSX |         23 |          0 |          3 |         26 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\order\orderApi.js                        | JavaScript     |         42 |          0 |          2 |         44 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\order\orderSlice.js                      | JavaScript     |         86 |          0 |          6 |         92 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\user\components\AddressPage.jsx          | JavaScript JSX |        103 |          0 |          3 |        106 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\user\components\EditAddressForm.jsx      | JavaScript JSX |        211 |          0 |          5 |        216 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\user\components\NewAddressForm.jsx       | JavaScript JSX |        200 |          0 |          7 |        207 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\user\userApi.jsx                         | JavaScript JSX |         30 |          0 |          3 |         33 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\user\userSlice.jsx                       | JavaScript JSX |         29 |          0 |          6 |         35 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\wishlist\WishEmpty.jsx                   | JavaScript JSX |         12 |          0 |          3 |         15 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\wishlist\WishItem.jsx                    | JavaScript JSX |         60 |          0 |          5 |         65 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\wishlist\WishList.jsx                    | JavaScript JSX |         27 |          0 |          4 |         31 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\wishlist\wishListSlice.js                | JavaScript     |         24 |          0 |          4 |         28 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\hooks\useAuth.jsx                                 | JavaScript JSX |          6 |          0 |          3 |          9 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\hooks\useCart.jsx                                 | JavaScript JSX |         16 |          0 |          4 |         20 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\hooks\useIntersection.jsx                         | JavaScript JSX |         17 |          0 |          6 |         23 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\hooks\useOrder.jsx                                | JavaScript JSX |          7 |          0 |          3 |         10 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\hooks\useUser.jsx                                 | JavaScript JSX |         14 |          0 |          5 |         19 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\index.css                                         | CSS            |         39 |          0 |          6 |         45 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\index.js                                          | JavaScript     |         18 |          3 |          5 |         26 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Addresses.jsx                               | JavaScript JSX |          5 |          0 |          3 |          8 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Checkout.jsx                                | JavaScript JSX |        217 |          1 |          6 |        224 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Home.jsx                                    | JavaScript JSX |         99 |          0 |          7 |        106 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Login.jsx                                   | JavaScript JSX |        130 |          0 |          8 |        138 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\OrderHistory.jsx                            | JavaScript JSX |         33 |          0 |          3 |         36 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\OrderProcess.jsx                            | JavaScript JSX |         60 |          0 |          3 |         63 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\OrderStatus.jsx                             | JavaScript JSX |         25 |          0 |          4 |         29 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Personal.jsx                                | JavaScript JSX |          5 |          0 |          3 |          8 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\PreviousOrder.jsx                           | JavaScript JSX |          5 |          0 |          3 |          8 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Products.jsx                                | JavaScript JSX |        124 |          1 |         14 |        139 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Signup.jsx                                  | JavaScript JSX |        163 |          0 |          8 |        171 |
| c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\User.jsx                                    | JavaScript JSX |         38 |          0 |          5 |         43 |
| Total                                                                                                  |                |      3,445 |         40 |        312 |      3,797 |
+--------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
