"filename", "language", "CSS", "JavaScript", "JavaScript JSX", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\order\components\OrderList.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 0, 0, 3, 26
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\order\orderApi.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 2, 44
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\order\orderSlice.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 6, 92
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\user\components\AddressPage.jsx", "JavaScript JSX", 0, 0, 103, 0, 0, 0, 0, 3, 106
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\user\components\EditAddressForm.jsx", "JavaScript JSX", 0, 0, 211, 0, 0, 0, 0, 5, 216
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\user\components\NewAddressForm.jsx", "JavaScript JSX", 0, 0, 200, 0, 0, 0, 0, 7, 207
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\user\userApi.jsx", "JavaScript JSX", 0, 0, 30, 0, 0, 0, 0, 3, 33
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\user\userSlice.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 0, 0, 6, 35
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\wishlist\WishEmpty.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\wishlist\WishItem.jsx", "JavaScript JSX", 0, 0, 60, 0, 0, 0, 0, 5, 65
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\wishlist\WishList.jsx", "JavaScript JSX", 0, 0, 27, 0, 0, 0, 0, 4, 31
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\features\wishlist\wishListSlice.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\hooks\useAuth.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\hooks\useCart.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\hooks\useIntersection.jsx", "JavaScript JSX", 0, 0, 17, 0, 0, 0, 0, 6, 23
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\hooks\useOrder.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\hooks\useUser.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 0, 5, 19
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\index.css", "CSS", 39, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\index.js", "JavaScript", 0, 18, 0, 0, 0, 0, 3, 5, 26
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Addresses.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Checkout.jsx", "JavaScript JSX", 0, 0, 217, 0, 0, 0, 1, 6, 224
"c:\Users\gk725\Desktop\Ecommerce\react-ecommerce\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 99, 0, 0, 0, 0, 7, 106
